Group,Benchmark,Baseline,SLP,Diospyros
qr-decomp-data,2-by-2-qr-decomp,519,1877,2025
qr-decomp-data,3-by-3-qr-decomp,6218,6710,6932
qr-decomp-data,4-by-4-qr-decomp,10648,11612,11410
qr-decomp-data,5-by-5-qr-decomp,15842,18499,18311
qr-decomp-data,6-by-6-qr-decomp,22060,25880,26048
mat-mul-data,2-by-2-mat-mul,15,17,23
mat-mul-data,3-by-3-mat-mul,46,73,68
mat-mul-data,4-by-4-mat-mul,111,125,78
mat-mul-data,5-by-5-mat-mul,219,194,246
mat-mul-data,6-by-6-mat-mul,385,399,373
mat-mul-data,7-by-7-mat-mul,643,283,672
mat-mul-data,8-by-8-mat-mul,944,321,371
mat-mul-data,9-by-9-mat-mul,1264,896,1287
mat-mul-data,10-by-10-mat-mul,1747,1252,1381
mat-mul-data,11-by-11-mat-mul,2383,1733,2341
mat-mul-data,12-by-12-mat-mul,3032,1928,1626
mat-mul-data,15-by-15-mat-mul,6224,3461,5812
mat-mul-data,16-by-16-mat-mul,7734,3652,3580
stencil-data,4-by-4-and-2-by-2-stencil,30,39,33
stencil-data,5-by-5-and-2-by-2-stencil,64,79,75
stencil-data,6-by-6-and-2-by-2-stencil,111,143,129
stencil-data,8-by-8-and-2-by-2-stencil,257,310,227
stencil-data,12-by-12-and-2-by-2-stencil,695,849,608
stencil-data,16-by-16-and-2-by-2-stencil,1733,1655,1193
stencil-data,4-by-4-and-3-by-3-stencil,65,80,77
stencil-data,5-by-5-and-3-by-3-stencil,165,174,166
stencil-data,6-by-6-and-3-by-3-stencil,263,313,251
stencil-data,8-by-8-and-3-by-3-stencil,578,687,498
stencil-data,12-by-12-and-3-by-3-stencil,1685,1908,1569
stencil-data,16-by-16-and-3-by-3-stencil,3276,3711,3072
conv-data,3-by-3-and-2-by-2-conv,99.0,111.0,90.0
conv-data,3-by-3-and-3-by-3-conv,340.0,243.0,174.0
conv-data,3-by-3-and-4-by-4-conv,650.0,428.0,278.0
conv-data,4-by-4-and-2-by-2-conv,257.0,194.0,139.0
conv-data,4-by-4-and-4-by-4-conv,2652.0,774.0,505.0
conv-data,5-by-5-and-2-by-2-conv,358.0,295.0,212.0
conv-data,5-by-5-and-3-by-3-conv,885.0,666.0,432.0
conv-data,5-by-5-and-4-by-4-conv,3726.0,1230.0,705.0
conv-data,6-by-6-and-2-by-2-conv,509.0,422.0,277.0
conv-data,6-by-6-and-3-by-3-conv,2546.0,973.0,603.0
conv-data,6-by-6-and-4-by-4-conv,5261.0,1795.0,1105.0
conv-data,8-by-8-and-2-by-2-conv,1554.0,754.0,464.0
conv-data,8-by-8-and-3-by-3-conv,4185.0,1692.0,925.0
conv-data,8-by-8-and-4-by-4-conv,9788.0,3259.0,1787.0
q-prod-data,qprod,54.0,62.0,58.0
